sku,code,name,description,finish,size,price,mrp,uom,category,page,brand,notes
BMDS30,BMDS30,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 300 mm Load: 20 kgs | Set of 4 Pcs,IV,300 mm Load: 20 kgs,200.00,200.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS35,BMDS35,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 350 mm Load: 20 kgs | Set of 4 Pcs,IV,350 mm Load: 20 kgs,223.00,223.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS40 Load: 20 kgs,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: Load: 20 kgs | Set of 4 Pcs,BL,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS40 400 mm,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 400 mm | Set of 4 Pcs,BR,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs;finish_expanded_from=IV/BR/
BMDS40 400 mm,BMDS40,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 400 mm | Set of 4 Pcs,IV,400 mm Load: 20 kgs,246.00,246.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs;finish_expanded_from=IV/BR/
BMDS45,BMDS45,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 450 mm Load: 20 kgs | Set of 4 Pcs,IV,450 mm Load: 20 kgs,272.00,272.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
BMDS50,BMDS50,Bottom Mounting Drawer Slides,Bottom Mounting Drawer Slides | Size: 500 mm Load: 20 kgs | Set of 4 Pcs,IV,500 mm Load: 20 kgs,299.00,299.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
DSRCST30250-ZW,DSRCST30250-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 250 mm Load: 30 kgs | Set of 2 Pcs,ZW,250 mm Load: 30 kgs,265.00,265.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30300-ZW,DSRCST30300-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 300 mm Load: 30 kgs | Set of 2 Pcs,ZW,300 mm Load: 30 kgs,325.00,325.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30350-ZW,DSRCST30350-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 350 mm Load: 30 kgs | Set of 2 Pcs,ZW,350 mm Load: 30 kgs,375.00,375.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30400-ZW,DSRCST30400-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 400 mm Load: 30 kgs | Set of 2 Pcs,ZW,400 mm Load: 30 kgs,415.00,415.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30450-ZW,DSRCST30450-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 450 mm Load: 30 kgs | Set of 2 Pcs,ZW,450 mm Load: 30 kgs,455.00,455.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
DSRCST30500-ZW,DSRCST30500-ZW,Sleek Telescopic Drawer Slides 35mm - 30kg,Sleek Telescopic Drawer Slides 35mm - 30kg | Size: 500 mm Load: 30 kgs | Set of 2 Pcs,ZW,500 mm Load: 30 kgs,495.00,495.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=10;pcs_set=Set of 2 Pcs;new_product_or_code_change=*
FPDS125-35-6,FPDS125-35-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 350 mm Load: 25 kgs | Set of 4 Pcs,IV,350 mm Load: 25 kgs,596.00,596.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-40-6,FPDS125-40-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 400 mm Load: 25 kgs | Set of 4 Pcs,IV,400 mm Load: 25 kgs,602.00,602.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-45-6,FPDS125-45-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 450 mm Load: 25 kgs | Set of 4 Pcs,IV,450 mm Load: 25 kgs,728.00,728.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
FPDS125-50-6,FPDS125-50-6,Full Panel with 6mm Bottom Track (Ht125mm),Full Panel with 6mm Bottom Track (Ht125mm) | Size: 500 mm Load: 25 kgs | Set of 4 Pcs,IV,500 mm Load: 25 kgs,795.00,795.00,SET,Drawer Slides,1,EBCO,section=DRAWER SLIDES 1. PRIMARY SERIES;spu=15;pcs_set=Set of 4 Pcs
