supplier,category,collection,code,item_name,finish,price,currency,page,confidence,review_notes
Yale,Smart Door Locks,Luna Pro+ Facial,LUNA-PRO-FACIAL,Luna Pro+ Facial,Matte black with champagne gold trimming,131099,INR,5,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Door Locks,Luna Pro,LUNA-PRO,Luna Pro,Matte black with champagne gold trimming,97199,INR,5,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Door Locks,Yale Zuri,Yzuri/BL,Yale Zuri,Black,29999,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri,Yzuri/BL/BD,Yale Zuri (Wifi Bridge Bundle),Black,39999,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri,Yzuri/AB,Yale Zuri,Antique Bronze,30999,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri,Yzuri/AB/BD,Yale Zuri (Wifi Bridge Bundle),Antique Bronze,40499,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri S,YzuriS/BL,Yale Zuri S,Black,21399,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri S,YzuriS/BL/BD,Yale Zuri S (Wifi Bridge Bundle),Black,30899,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri S,YzuriS/AB,Yale Zuri S,Antique Bronze,22499,INR,5,HIGH,
Yale,Smart Door Locks,Yale Zuri S,YzuriS/AB/BD,Yale Zuri S (Wifi Bridge Bundle),Antique Bronze,31999,INR,5,HIGH,
Yale,Smart Door Locks,YMI70A-YH,YMI70A-YH,YMI70A-YH,Matt Black/Red Bronze/Champagne Gold,89299,INR,6,HIGH,Single MRP; finish is a cosmetic choice (does not change price).
Yale,Smart Door Locks,Kyra Pro,KYRA-PRO,Kyra Pro,Matt Black/Gold,66199,INR,6,LOW,No alphanumeric product code printed; code derived from product name. Cosmetic finish choice.
Yale,Smart Door Locks,YDM7116A-YH,YDM7116A-YH,YDM7116A-YH,Matt Black/Red Bronze/Champagne Gold,79999,INR,6,HIGH,Single MRP; finish is a cosmetic choice.
Yale,Smart Door Locks,ByYou V Pro,BYYOU-V-PRO,ByYou V Pro,Matt Black/Gold,52499,INR,6,LOW,No alphanumeric product code printed; code derived from product name. Cosmetic finish choice.
Yale,Smart Door Locks,ByYou Mortise,BYYOU-MORTISE,ByYou Mortise,Matt Black/Gold,53599,INR,6,LOW,No alphanumeric product code printed; code derived from product name. Cosmetic finish choice.
Yale,Smart Door Locks,YDM4109A RL,YDM4109A RL,YDM4109A RL,Black/Gold,59999,INR,6,HIGH,Single MRP; finish is a cosmetic choice.
Yale,Smart Door Locks,YDM4109 A,YDM4109 A,YDM4109 A,Black,57699,INR,6,LOW,Two price bubbles shown (Black/Gold); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Smart Door Locks,YDM4109 A,YDM4109 A,YDM4109 A,Gold,60399,INR,6,LOW,Two price bubbles shown (Black/Gold); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Smart Door Locks,YDM 4115A,YDM 4115A,YDM 4115A,Brown,47999,INR,6,HIGH,
Yale,Smart Door Locks,YDM 3115A,YDM 3115A,YDM 3115A,Matt Black,38199,INR,7,HIGH,
Yale,Smart Door Locks,YDM 3115A,YDM 3115A,YDM 3115A,Silver,34599,INR,7,HIGH,
Yale,Smart Door Locks,YDR 50GA,YDR 50GA,YDR 50GA,Black,55999,INR,7,HIGH,
Yale,Smart Door Locks,YDR 414A,YDR 414A,YDR 414A,Black,45999,INR,7,HIGH,
Yale,Smart Door Locks,YDR 41A,YDR 41A,YDR 41A,Black,43999,INR,7,HIGH,
Yale,Smart Door Locks,YDD 724A,YDD 724A,YDD 724A,Black,52999,INR,7,HIGH,
Yale,Smart Door Locks,YDG 413A GL,YDG 413A GL,YDG 413A GL,Silver,43999,INR,7,HIGH,
Yale,Smart Door Locks,YDG 413A GL,YDG-RESPECTABLE-ACCESSORY,"Glass to Glass Respectable (accessory for YDG 413A GL, sold separately)",Standard,4999,INR,7,HIGH,
Yale,Smart Door Locks,Smart Code Handle,SMART-CODE-HANDLE,Smart Code Handle (For PVC Door & Window),Satin Chrome,17899,INR,7,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Door Locks,YDL325 Series,YDL325 S,YDL325 Series,Black,14999,INR,7,LOW,Single MRP printed for both YDL325 S and YDL325 C codes; not distinguished in source.
Yale,Smart Door Locks,YDL325 Series,YDL325 C,YDL325 Series,Black,14999,INR,7,LOW,Single MRP printed for both YDL325 S and YDL325 C codes; not distinguished in source.
Yale,Digital Door Lock,YDME 200NxT,YDME 200NxT,YDME 200NxT,Gold & Black,29999,INR,8,HIGH,
Yale,Digital Door Lock,YDME 100NxT,YDME 100NxT,YDME 100NxT,Brown,27999,INR,8,LOW,Two price bubbles shown (Black/Brown); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Digital Door Lock,YDME 100NxT,YDME 100NxT,YDME 100NxT,Black,26499,INR,8,LOW,Two price bubbles shown (Black/Brown); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Digital Door Lock,YDME 50NxT,YDME 50NxT,YDME 50NxT,Brown,19999,INR,8,LOW,Two price bubbles shown (Black/Brown); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Digital Door Lock,YDME 50NxT,YDME 50NxT,YDME 50NxT,Black,18999,INR,8,LOW,Two price bubbles shown (Black/Brown); price-to-finish mapping inferred from bubble colour in source PDF.
Yale,Digital Door Lock,YDME 50Pro,YDME 50Pro,YDME 50Pro,Black,15499,INR,8,HIGH,
Yale,Digital Door Lock,YDAL Lock,YDAL-LOCK-OPENABLE,YDAL Lock (For Openable Aluminum Profile Doors),Black/Silver,23099,INR,8,LOW,Catalog prints the same name 'YDAL Lock' for both openable and sliding variants; code suffixed here to disambiguate.
Yale,Digital Door Lock,YDAL Lock,YDAL-LOCK-SLIDING,YDAL Lock (For Sliding Aluminum Profile Doors),Black/Silver,23099,INR,8,LOW,Catalog prints the same name 'YDAL Lock' for both openable and sliding variants; code suffixed here to disambiguate.
Yale,Digital Door Lock,REFLECTA Lock,YREFB,REFLECTA Lock (REFLECTA Biometric),Silver,10499,INR,8,HIGH,
Yale,Digital Door Lock,Tye,TYE,Tye,Black/Silver,14999,INR,8,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Digital Wardrobe Locks,Premium Biometric Furniture Lock - Openable,YLDRPC-BL,Premium Biometric Furniture Lock - Openable,Black,4499,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Biometric Furniture Lock - Openable,YLDRPC-RG,Premium Biometric Furniture Lock - Openable,Rose Gold,4499,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Furniture Lock - Sliding,YLDRPSL-BL,Premium Furniture Lock - Sliding,Black,4699,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Furniture Lock - Sliding,YLDRPSL-RG,Premium Furniture Lock - Sliding,Rose Gold,4699,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Furniture Lock,YLDRPB-BL,Premium Furniture Lock,Black,3999,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Furniture Lock,YLDRPB-BR,Premium Furniture Lock,Brown,4199,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Premium Furniture Lock,YLDRPB-IV,Premium Furniture Lock,Ivory,4199,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Wardrobe and Cabinet Lock,MESH-PIN-OPENABLE,Mesh Pin Digital Lock for Wardrobes and Cabinets - Openable,Standard,3000,INR,9,LOW,"Printed 'Product Codes' cell literally reads 'Mesh Pin Openable' (a function label, not an alphanumeric code)."
Yale,Digital Wardrobe Locks,Automatic Pincode Wardrobe/Drawer Lock,ML81PAH-U,Automatic Pincode Wardrobe/Drawer Lock - Horizontal,Standard,7699,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Automatic Pincode Wardrobe/Drawer Lock,ML81PAV-U,Automatic Pincode Wardrobe/Drawer Lock - Vertical,Standard,7699,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Fingerprint Wardrobe Lock - Mounted,FP-OP-F-B-02,"Fingerprint Wardrobe Lock - Mounted, Openable Door",Standard,8699,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Fingerprint Wardrobe Lock - Mounted,FP-SL-F-B-02,"Fingerprint Wardrobe Lock - Mounted, Sliding Door",Standard,9399,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Fingerprint Wardrobe Lock - Handle,FP-OP-H-B-01,"Fingerprint Wardrobe Lock - Handle, Openable Door",Standard,9399,INR,9,HIGH,
Yale,Digital Wardrobe Locks,Fingerprint Wardrobe Lock - Handle,FP-SL-H-B-01,"Fingerprint Wardrobe Lock - Handle, Sliding Door",Standard,9399,INR,9,HIGH,
Yale,Smart Lock Accessories,Smart Lock Accessories,YRM 20N,YRM 20N Receiver Module (pairs lock with remote control & VDP),Standard,7699,INR,10,HIGH,
Yale,Smart Lock Accessories,Smart Lock Accessories,YRM 20 AMC,YRM20 AMC - Transmitter Module for Video Door Phone,Standard,8799,INR,10,HIGH,
Yale,Smart Lock Accessories,Smart Lock Accessories,YALE-HOME-BLUETOOTH-MODULE,Yale Home Bluetooth Module,Standard,5499,INR,10,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Lock Accessories,Smart Lock Accessories,RC 100,RC 100 - Optional remote control for unlocking front door,Standard,7799,INR,10,HIGH,
Yale,Smart Lock Accessories,Smart Lock Accessories,YRC 300,YRC 300 - Remote control to lock/unlock digital lock from inside,Standard,5299,INR,10,HIGH,
Yale,Smart Lock Accessories,Smart Lock Accessories,YALE-CONNECT-WIFI-BRIDGE,Yale Connect Wi-Fi Bridge,Standard,8799,INR,10,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Lock Accessories,Smart Lock Accessories,YALE-MULTI-BRIDGE-4-1,Yale Multi Bridge 4:1 (Yale ConnectX 4:1) - connects up to 4 devices,Standard,9499,INR,10,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Video Doorbell,Smart Video Doorbell,SMART-VIDEO-DOORBELL,Smart Video Doorbell,Standard,18999,INR,10,LOW,No alphanumeric product code printed; code derived from product name.
Yale,Smart Video Doorbell,Smart Video Doorbell,VIDEO-DOORBELL-CHIME,Video Doorbell Chime,Standard,3599,INR,10,LOW,No alphanumeric product code printed; code derived from product name.
